SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
1,9,California,State,CA,102266,99782,96028,96945,98479,97004,95989,94923,96583,100387,100417,101020,102923,102053,104405,109565,110406,112591,115774,113994,113972,115764,114630,112612,109803,106515,107278,109767,107680,107914,110250,109890,109315,105948,103946,103228,99519,99427,102568,102974,105128,109383,110674,109872,105828,102220,101238,97916,94740,95218,95028,93770,93341,89597,86595,87056,85236,83931,84931,85904,87881,88401,88106,92090,96630,96494,97411,101237,104645,106558,105273,105514
2,54,Texas,State,TX,141026,141074,140262,142314,143206,139473,136131,133098,131855,132315,129570,127579,127050,124354,124463,126414,124627,125298,128125,126418,125049,125368,124468,123258,121920,120749,121298,121819,117842,115876,117414,118696,120449,119227,119239,120190,117128,116454,117474,114898,115340,118579,119497,120560,120198,120297,122068,121598,121658,123952,123861,122593,123555,123448,125325,129534,128975,127238,127529,127054,126143,124080,122973,126472,130474,129907,129293,130528,131197,131700,130362,129822
3,43,New York,State,NY,111918,110380,109140,110797,110421,106240,103254,101094,100290,101997,101915,101083,102415,102490,101107,100556,99645,100822,102458,101299,101406,101852,100631,99141,96637,94496,96329,99837,100731,102417,103837,102729,101404,98860,97531,97194,94633,93325,93906,93085,93031,93301,91783,90946,89769,88571,88874,88697,88082,87318,84337,80619,78728,76815,75995,76411,75488,75289,75999,76214,77413,77494,75344,75054,76222,75916,76087,77219,78058,78643,77996,77568
4,14,Florida,State,FL,196205,194218,195149,199183,197132,191256,188038,184139,184674,190699,193019,194695,195393,191787,195065,202593,205439,209712,209823,203516,202277,202493,199482,197457,194276,186345,181279,183950,184229,183788,184568,184004,183591,178833,176456,177358,175169,177380,182200,182744,184886,186740,186045,186852,183988,181121,181769,179709,178818,182324,182959,179872,177147,172856,171778,170846,164250,163597,167307,168640,169820,168505,168021,172094,174428,171501,170792,173549,176043,177669,176080,175376
5,21,Illinois,State,IL,77358,75973,73381,73206,73461,71346,69491,68846,69511,70643,70362,70286,70256,68651,68986,71349,71816,73289,75336,75091,75992,77288,76905,76373,75867,75282,76875,79210,78329,78276,78824,77769,77680,76828,76113,75535,73703,74270,75531,73983,73878,75231,75137,74631,72973,71848,72161,71503,70925,71574,70753,68620,67526,65950,65302,66644,66977,67027,67122,66365,66064,65542,64532,65078,66408,66094,65974,67064,67993,68113,66540,65783
6,47,Pennsylvania,State,PA,78987,78966,78155,79498,81313,81005,79647,78033,77849,78737,78249,78062,78027,76132,76220,78983,79937,80603,81644,81254,81542,81699,80429,79278,77852,76430,76873,77503,76388,77209,79064,79178,78677,76937,76168,76321,75015,74918,75545,74237,73642,73732,72709,71990,70808,69845,69606,68584,68153,68597,67339,65279,64354,62997,62521,63133,62432,62380,63022,62576,62359,61424,59562,59371,59644,58004,56689,56710,56873,56961,56181,55878
7,44,Ohio,State,OH,66906,67148,65973,66577,67904,67356,65953,64372,64059,64665,63966,63652,63724,62096,61208,62145,62297,63077,64355,63921,63965,64278,63539,62848,61942,60729,60876,61519,61047,62147,63239,62746,62621,61628,61246,61379,59928,59149,58457,56381,55979,56599,56469,56838,56207,55182,54768,53642,53091,53455,52461,50598,49468,48051,47555,48211,47659,47292,47730,47737,47634,46598,44955,44979,45597,44679,44302,44967,45431,45765,45076,44601
8,30,Michigan,State,MI,74169,72908,71642,72594,73454,72063,70250,68676,68418,69368,69267,69150,68670,66685,66387,68012,68820,70772,72761,72410,73083,73542,71802,70466,69726,69022,69943,70757,68812,68923,71349,72312,71899,69701,68181,67480,65755,65124,65098,63929,64060,64854,64179,63436,62085,60901,60261,58634,57684,58018,57235,55622,54552,52781,51749,51893,50997,50663,51171,50979,50552,49431,47995,48066,49025,48597,48070,48702,49442,49984,49737,49460
9,16,Georgia,State,GA,68960,67054,65090,65758,66615,66284,66422,66749,68655,71007,70314,69542,69547,68236,68352,69681,69586,70532,71809,71110,71723,72733,72277,72546,72470,72142,74860,77892,77137,77365,79336,79980,79990,77840,75667,74941,73067,71910,71643,71187,73639,76102,75376,74623,73289,71820,71476,70640,70084,70281,68890,66690,65557,63933,63344,63640,62352,61739,61893,61802,61959,60424,58113,58135,58824,58088,58205,59275,60025,60324,59466,59038
10,36,North Carolina,State,NC,91751,90858,89944,91426,92870,92192,91171,90168,90658,92522,91786,89874,88557,86261,86032,88260,88670,88661,89205,88380,87276,85758,83910,82537,81022,79954,80234,79176,75237,73910,75120,75609,75688,73916,72719,73187,72864,72893,72580,71218,71731,72619,72027,71683,70372,68757,68149,66870,65909,65923,64079,61310,60361,59568,59461,60471,60424,60560,61120,60906,60585,59449,57688,57561,58072,56578,54970,54247,53645,53598,52969,52572
